corp_nm,corp_gbn,prdct,addr,lon,lat
(주)바이오세라,중소기업,향균바이오세라믹,전라북도 완주군 봉동읍 신성리 6-1번지 ,127.1682021,35.92813721
(주)바이오플러스,중소기업,미생물,"전라북도 완주군 봉동읍 둔산리 864-8번지 전북과학연구소 창조관 311, 312, 313호",127.1208912,35.96486054
(주)벨로스타,중소기업,전기자전거,전라북도 완주군 봉동읍 둔산리 864-12번지,127.1216818,35.96517383
(주)보성알앤디,중소기업,지하철승강장안전문/ 철도차량내장재/ 알루미늄가공품 등,전라북도 완주군 봉동읍 둔산리 948-2번지,127.1235962,35.95491892
(주)부흥산업,중소기업,알루미늄복합패널/ 석제단열패널,전라북도 완주군 용진읍 상운리 299-7,127.1531371,35.88952247
(주)뷰텍모터스,중소기업,특장차,전라북도 완주군 봉동읍 둔산리 924-16번지,127.1307592,35.95881992
(주)뷰텍모터스,중소기업,차량 KD 및 특장차 철구조물,전라북도 완주군 봉동읍 둔산리 926-6번지,127.1296883,35.95599497
(주)브릿지,중소기업,도교/부잔교/선박기자재 등,전라북도 완주군 봉동읍 둔산리 926-16번지,127.1265656,35.95783665
(주)브릿지,중소기업,도교/ 부잔교/ 선박기자재,전라북도 완주군 봉동읍 장구리 587-5,127.1119393,35.96725562
(주)비디텍,중소기업,전기자동차 배터리 하우징 부품,전라북도 완주군 봉동읍 둔산리 924-7번지,127.1337946,35.95567855
(주)비에이치산업,중소기업,알루미늄복합패널/ 석제단열패널,전라북도 완주군 용진읍 상운리 299-7,127.1531371,35.88952247
(주)비지스,중소기업,heater/pipe,전라북도 완주군 봉동읍 용암리 802-2번지,127.1293144,35.94510641
(주)비지에프푸드,중소기업,김밥,전라북도 완주군 봉동읍 둔산리 924-20번지,127.1305943,35.96090106
(주)산맥,중소기업,가드레일,전라북도 완주군 용진읍 용흥리 155-1번지,127.1643053,35.89016689
(주)삼보,중소기업,레미콘/아스콘,전라북도 완주군 구이면 안덕리 304-1번지,127.0927089,35.68078412
(주)삼아엠티,중소기업,자동차 휠 금형,전라북도 완주군 봉동읍 둔산리 863-12번지,127.1165259,35.96360637
(주)삼양패키징 전주공장,중소기업,PET병,전라북도 완주군 용진읍 신지리 1256 번지,127.1774778,35.91904175
(주)삼영메탈,중소기업,자동차부품,전라북도 완주군 봉동읍 둔산리 868-15번지,127.1155329,35.95877318
(주)삼현철강,중소기업,자동차부품,전라북도 완주군 봉동읍 장구리 579-1번지,127.1218731,35.97518936
(주)새눈,중소기업,서버/ 카메라,"전라북도 완주군 봉동읍 둔산리 864-1번지 전북과학연구소 연구동 219, 220호",127.1202844,35.96517848
(주)새롬식품,중소기업,국수/라면,전라북도 완주군 소양면 해월리 1007-23번지,127.2578287,35.87563997
(주)서린테크,중소기업,자동차부품(머플러),전라북도 완주군 봉동읍 용암리 767-6번지,127.1408422,35.95063291
(주)서부아스콘,중소기업,아스콘,전라북도 완주군 이서면 이문리 733번지,127.0093468,35.82152068
(주)서인디앤피,중소기업,박스,전라북도 완주군 봉동읍 둔산리 926-24번지 서인디앤피,127.1282941,35.95832239
(주)서진이엔지,중소기업,낙농기자재자동화기기,전라북도 완주군 용진읍 구억리 468-2번지,127.164199,35.86800365
(주)성경,중소기업,PVC RACK제조 및 유지보수,전라북도 완주군 봉동읍 둔산리 924-3번지,127.132167,35.95568125
(주)세원하드페이싱,중소기업,자동차용 동력전달장치/ 금속가공 등,전라북도 완주군 봉동읍 용암리 848번지,127.1299749,35.9355939
(주)세이브에너지,중소기업,태양광발전장치/ 태양광가로등,전라북도 완주군 이서면 은교리 617-1번지 ,127.0118322,35.81892943
(주)세진공업,중소기업,적재함/ 금형 CIMBR류,전라북도 완주군 봉동읍 둔산리 926-1번지,127.1283665,35.95957621
(주)셈,중소기업,신재생에너지구조설비,전라북도 완주군 봉동읍 둔산리 868-21번지,127.1159186,35.95852812
(주)소나무공작소,중소기업,주방용 목재가구/ 교육용 diy,전라북도 완주군 소양면 황운리 633-4,127.2365734,35.85607004
(주)솔라파크수상부력체,중소기업,수상태양광 부유체,전라북도 완주군 봉동읍 둔산리 855-5번지 솔라파크엠(주) (주)솔라파크에스엠씨,127.1261348,35.9692038
(주)송레이저,중소기업,자동차부품(도어),전라북도 완주군 봉동읍 장구리 56-9번지,127.1251227,35.97455974
(주)송산기공,중소기업,자동차용 샤시프레임,전라북도 완주군 봉동읍 제내리 363-1번지,127.1196339,35.98342909
(주)수한이엔지,중소기업,영상 감지 장치,"전라북도 완주군 봉동읍 둔산리 864-9 (재)전북테크노파크 전북과학기술진흥센터 창조관 221호, 222호",127.1192336,35.96483859
(주)스테비팜,중소기업,스테비아 토마토,전라북도 완주군 삼례읍 삼례리 219-3,127.0798695,35.91944809
(주)스페이스센싱,중소기업,레드선/ 제어계측용 시험장비/ 제어용 컨트롤러,"전라북도 완주군 봉동읍 둔산리 864-9 전북과학기술진흥센터 연구동 317호, 320호",127.1192336,35.96483859
(주)승광,중소기업,머플러,전라북도 완주군 봉동읍 장구리 578-10번지,127.1188706,35.97244044
(주)승본산업,중소기업,총기부품,전라북도 완주군 봉동읍 장구리 587-7 2동 1층,127.1121662,35.96435017
(주)신성이엔에스,중소기업,거점식 소독/ 세척시스템/ 출구소독시스템/ 공장자동화기계,전라북도 완주군 삼례읍 수계리 1358,127.1195933,35.93734219
(주)신창정공,중소기업,자동차차체부품,전라북도 완주군 봉동읍 둔산리 924-1번지,127.1314305,35.95570026
(주)신한방,중소기업,면사,전라북도 완주군 이서면 은교리 843번지,127.0080382,35.81195794
(주)신화창조,중소기업,주방용 오물분쇄기,전라북도 완주군 구이면 계곡리 313-14번지,127.1134531,35.67624481
(주)실크로,중소기업,누에고치(실크) 펩타이드,전라북도 완주군 봉동읍 둔산리 864-9 (재)전북테크노파크 전북과학기술진흥센터,127.1192336,35.96483859
(주)썬로드테크,중소기업,가드레일,전라북도 완주군 봉동읍 둔산리 852-7번지,127.1224509,35.96859568
(주)썬텍에너지,중소기업,스팀/ 전기,전라북도 완주군 봉동읍 용암리 798-1번지,127.1411853,35.94466503
(주)쓰리축코리아,중소기업,가변축,전라북도 완주군 봉동읍 장구리 581-8번지,127.1154214,35.97425647
(주)씨케이메탈 완주지점,중소기업,알루미늄 휠,전라북도 완주군 봉동읍 둔산리 926-24번지,127.1282941,35.95832239
(주)아성이엔지,중소기업,승강기,전라북도 완주군 소양면 황운리 854-11,127.2284012,35.85374467
(주)아시아2공장,중소기업,철망 등,전라북도 완주군 봉동읍 장구리 583-11번지,127.1139951,35.96813284
(주)아이비휀스,중소기업,철망,전라북도 완주군 용진읍 신지리 751,127.1730781,35.92702788
(주)아이엘,중소기업,경관조명,전라북도 완주군 봉동읍 둔산리 864-9 (재)전북테크노파크 전북과학기술진흥센터,127.1192336,35.96483859
(주)아이엠,중소기업,태양광발전장치/ 태양광구조물,전라북도 완주군 봉동읍 둔산리 931-1,127.118112,35.95843405
(주)아이엠,중소기업,태양광 발전용 접속반,전라북도 완주군 봉동읍 둔산리 931-11번지,127.1181114,35.95801948
(주)아헤스,중소기업,Power to Gas System/ 고압액체수소혼합저장용기/ 비귀금속 기반 저가형 전극/ 수전해 설비,전라북도 완주군 봉동읍 장구리 587-6,127.1120453,35.96483813
(주)에너지11,중소기업,나트륨 배터리 ,전라북도 완주군 봉동읍 둔산리 863-14 공장동,127.1156594,35.96211232
(주)에스엠엔테크,중소기업,연구용로봇/ 통신장비 케이스,전라북도 완주군 봉동읍 장구리 580-4,127.1221783,35.9702271
(주)에스엠전자,중소기업,태양광 발전장치/ 수배전반,전라북도 완주군 봉동읍 장구리 584-2,127.113687,35.96476764
(주)에스엠텍,중소기업,세이브라인/ 접이식피난구,전라북도 완주군 봉동읍 장구리 578-2번지,127.1206927,35.9733331
(주)에스엠특장,중소기업,윙바디 가드/ 윙바디 FLOOR,전라북도 완주군 봉동읍 둔산리 948-26번지,127.1237996,35.95360317
